"Current Phase","Phase III Date","Phase III Event Date","Phase II Date","Phase II Event Date","Phase I Date","Molecule","Route of Administration","Lead Company Name","Ticker","Drug Name","Disease Group","Indication Name","Target","Phase I Event Date"
"Preclinical",,,,,,"Peptide",,"Titan Pharmaceuticals Inc.","TTNP","JT-09","Allergy","Pruritus","Opioid receptors",
"Preclinical",,,,,,"Peptide",,"Bioniz Therapeutics, Inc.",,"BNZ-3","Autoimmune/immunology","Autoimmune Disorders","IL-21 (Interleukin-21),IL-4 (Interleukin-4),IL-9 (Interleukin-9)",
"Suspended",,,,,,"Peptide",,"Takeda Pharmaceutical Co. Ltd.","TAK","F-1324","Autoimmune/immunology","Autoimmune Disorders","Bcl6/B-cell lymphoma 6",
"Preclinical",,,,,,"Peptide",,"ReAlta Life Sciences, Inc.",,"PIC1-03","Autoimmune/immunology","Complement Deficiencies / Abnormalities","Complement Component 1q (C1q),Complement Pathway",
"Suspended",,,,,,"Peptide",,"OncoImmune, Inc.",,"Echinomycin","Autoimmune/immunology","Graft vs. Host Disease (GVHD) - Treatment","DNA",
"Preclinical",,,,,,"Peptide",,"Galmed Pharmaceuticals Ltd.","GLMD","Amilo-5MER","Autoimmune/immunology","Inflammatory Bowel Disease (IBD)","Apolipoprotein - B100 (Apo-B100),Transthyretin (TTR)",
"Preclinical",,,,,,"Peptide",,"Find Therapeutics",,"GPCR Allosteric Modulator Program (Find)","Autoimmune/immunology","Inflammatory Disorders",,
"I",,,,,"10/19/2017","Peptide",,"Amyndas Pharmaceuticals",,"AMY-101","Autoimmune/immunology","Paroxysmal Nocturnal Hemoglobinuria (PNH)","Complement Pathway","10/19/2017"
"Preclinical",,,,,,"Peptide",,"WntResearch AB","WNT.ST","Box-5","Autoimmune/immunology","Psoriasis","WNT Signaling Pathway",
"Preclinical",,,,,,"Peptide",,"CEL-SCI Corporation","CVM","CEL-4000","Autoimmune/immunology","Rheumatoid Arthritis (RA)","Immune System,T lymphocytes",
"Suspended",,,,,,"Peptide",,"Genovax S.r.l.",,"GX 101","Autoimmune/immunology","Systemic Lupus Erythematosus (SLE)","T lymphocytes",
"Preclinical",,,,,,"Peptide",,"Arrevus Inc. ",,"ARV-1502","Autoimmune/immunology","Wound Healing","DnaK,Protein synthesis",
"Suspended",,,,,,"Peptide",,"LEO Pharma A/S",,"Peptide Derived Program (Leo/Morphosys)","Dermatology","Dermatology",,
