Number,Company,Company URL,Company URL,SAB Link,SAB,Ticker,Whale URL,Crunchbase URL,Venture Funders,Whale URL,Public Holders,# of High Quality Public Holders,Crunchbase URL,Peptide Specialist?,Pitchbook URL
0,"48Hour Discovery, Inc.",https://48hourdiscovery.com/,https://48hourdiscovery.com/,https://48hourdiscovery.com/investors/,1,,,https://www.crunchbase.com/organization/48hour-discovery/company_financials,1,,,,https://www.crunchbase.com/organization/48hour-discovery/company_financials,Yes,https://pitchbook.com/profiles/company/60612-40
1,7TM Pharma A/S,https://www.linkedin.com/company/7tm-pharma,https://www.linkedin.com/company/7tm-pharma,no page,1,,,https://www.genengnews.com/a-lists/20-top-vc-firms-for-biotechs/,3,,,,https://www.genengnews.com/a-lists/20-top-vc-firms-for-biotechs/,,https://www.tiburio.com/who-we-are/board-of-directors/
2,"9 Meters Biopharma, Inc. ",https://9meters.com/,https://9meters.com/,https://irdirect.net/prviewer/release_only/id/4439071,2,NMTR,https://whalewisdom.com/stock/nmtr,https://www.crunchbase.com/organization/9-meters-biopharma/company_financials,3,https://whalewisdom.com/stock/nmtr,,,https://www.crunchbase.com/organization/9-meters-biopharma/company_financials,,https://pitchbook.com/profiles/company/153627-94
3,AbbVie Inc.,https://www.abbvie.com/,https://www.abbvie.com/,large cap,N/A,ABBV,https://whalewisdom.com/stock/abbv,https://www.crunchbase.com/organization/abbvie/company_financials,N/A,https://whalewisdom.com/stock/abbv,,,https://www.crunchbase.com/organization/abbvie/company_financials,,https://pitchbook.com/profiles/company/56145-79
4,AC Immune SA,https://www.acimmune.com/,https://www.acimmune.com/,acimmune.com/en/scientific-advisory-board,2,ACIU,https://whalewisdom.com/stock/aciu,https://www.crunchbase.com/organization/ac-immune-sa/company_financials,2,https://whalewisdom.com/stock/aciu,,,https://www.crunchbase.com/organization/ac-immune-sa/company_financials,,https://pitchbook.com/profiles/company/61037-83
5,"Acologix, Inc.",https://www.bloomberg.com/profile/company/ACOLIZ:JP,https://www.bloomberg.com/profile/company/ACOLIZ:JP,https://web.archive.org/web/20060823093703/http://acologix.com/index.html,1,,,https://www.crunchbase.com/organization/tokio-marine-holdings/company_financials,N/A,,,,https://www.crunchbase.com/organization/tokio-marine-holdings/company_financials,,https://pitchbook.com/profiles/investor/52155-91
6,"Acorda Therapeutics, Inc.",http://www.acorda.com/,http://www.acorda.com/,http://www.acorda.com/about/company-leadership/board-of-directors,1,ACOR,https://whalewisdom.com/stock/acor,https://www.crunchbase.com/organization/acorda-therapeutics/company_financials,3,https://whalewisdom.com/stock/acor,,,https://www.crunchbase.com/organization/acorda-therapeutics/company_financials,,https://pitchbook.com/profiles/company/40675-06
7,Adenium Biotech ApS,https://www.linkedin.com/company/adenium-biotech-aps,https://www.linkedin.com/company/adenium-biotech-aps,https://web.archive.org/web/20190111210908/https://adeniumbiotech.com/special-advisors/,2,,,https://www.crunchbase.com/organization/adenium-biotech-aps/company_financials,1,,,,https://www.crunchbase.com/organization/adenium-biotech-aps/company_financials,,https://www.scribd.com/document/432860489/DPIIT-Recognized-Startups-List-21102019-pdf
8,"Adhera Therapeutics, Inc.",https://adherathera.com/,https://adherathera.com/,https://adherathera.com/board-of-directors/,1,ATRX,https://whalewisdom.com/stock/atrx,https://www.crunchbase.com/organization/adhera-therapeutics/company_financials,1,https://whalewisdom.com/stock/atrx,,,https://www.crunchbase.com/organization/adhera-therapeutics/company_financials,,https://pitchbook.com/profiles/company/41953-06
9,"Adlai Nortye Biopharma Co., Ltd.",https://www.prnewswire.com/news-releases/adlai-nortye-opens-new-us-headquarters-solidifying-its-position-in-the-global-pharma-industry-300718293.html,https://www.prnewswire.com/news-releases/adlai-nortye-opens-new-us-headquarters-solidifying-its-position-in-the-global-pharma-industry-300718293.html,https://web.archive.org/web/20200220181611/http://www.adlainortye.com/#home,1,,,https://www.crunchbase.com/organization/adlai-nortye/company_financials,2,,,,https://www.crunchbase.com/organization/adlai-nortye/company_financials,,https://hedgemaven.maven-data.com/news/venture-capital/chinese-biopharma-firm-adlai-nortye-raises-100m-in-series-c-round-china-money-network
10,Adocia,https://www.adocia.com/,https://www.adocia.com/,https://adocia.com/adocia/presentation-scientific-advisory-board,2,ADOC:FP,https://whalewisdom.com/stock/adoc:fp,http://crunchbase.com/organization/adocia/company_financials,2,https://whalewisdom.com/stock/adoc:fp,,,https://www.crunchbase.com/organization/viveris-management/company_financials,,https://pitchbook.com/profiles/company/57291-49
11,Aerami Therapeutics,https://aerami.com/,https://aerami.com/,https://aerami.com/about/,1,,,https://www.crunchbase.com/organization/dance-biopharm/company_financials,2,,,,https://www.crunchbase.com/organization/dance-biopharm/company_financials,,https://pitchbook.com/profiles/company/61979-50
12,Aeterna Zentaris Inc.,https://www.zentaris.com/,https://www.zentaris.com/,https://www.zentaris.com/board-of-directors,1,AEZS,https://whalewisdom.com/stock/aezs,https://www.crunchbase.com/organization/aeterna-zentaris/company_financials,N/A,https://whalewisdom.com/stock/aezs,,,https://www.crunchbase.com/organization/aeterna-zentaris/company_financials,,https://pitchbook.com/profiles/company/51252-13
13,"Aevi Genomic Medicine, Inc.",https://www.cerecor.com/,https://www.cerecor.com/,https://www.cerecor.com/about/board-of-directors,1,GNMX,https://whalewisdom.com/stock/gnmx,http://crunchbase.com/organization/aevi-genomic-medicine/company_financials,2,https://whalewisdom.com/stock/gnmx,,,https://www.crunchbase.com/organization/the-childrens-hospital-of-philadelphia/company_financials,,https://pitchbook.com/profiles/company/11066-68
14,"Affymax, Inc.",http://www.affymax.com/,http://www.affymax.com/,http://www.affymax.com/home.html,1,AFFY,https://whalewisdom.com/stock/affy,https://www.crunchbase.com/organization/affymax/company_financials,3,https://whalewisdom.com/stock/affy,,,https://www.crunchbase.com/organization/affymax/company_financials,,https://pitchbook.com/profiles/company/41535-37
15,"Aileron Therapeutics, Inc",https://www.aileronrx.com/,https://www.aileronrx.com/,https://www.aileronrx.com/our-company/advisory-board/,2,ALRN,https://whalewisdom.com/stock/alrn,https://www.crunchbase.com/organization/aileron-therapeutics/company_financials,3,https://whalewisdom.com/stock/alrn,,,https://www.crunchbase.com/organization/aileron-therapeutics/company_financials,,https://pitchbook.com/profiles/company/53388-10
16,"Akashi Therapeutics, Inc.",https://www.akashirx.com/,https://www.akashirx.com/,https://www.akashirx.com/scientific-advisory-board/,2,,,https://www.crunchbase.com/organization/dart-therapeutics/company_financials,1,,,,https://www.crunchbase.com/organization/dart-therapeutics/company_financials,,https://pitchbook.com/profiles/company/64592-29
17,AKELA Pharma Inc.,https://www.fiercebiotech.com/biotech/akela-pharma-announces-restructuring,https://www.fiercebiotech.com/biotech/akela-pharma-announces-restructuring,http://akelapharma.com/,1,AKLPF,https://whalewisdom.com/stock/aklpf,https://www.crunchbase.com/organization/akela-pharma,N/A,https://whalewisdom.com/stock/aklpf,,,https://www.linkedin.com/in/michaelleshinsky,,https://pitchbook.com/profiles/company/123046-75
18,"Albireo Pharma, Inc.",https://www.albireopharma.com/,https://www.albireopharma.com/,http://albireopharma.com/about/board-directors,1,ALBO,https://whalewisdom.com/stock/albo,https://www.crunchbase.com/organization/albireo/company_financials,2,https://whalewisdom.com/stock/albo,,,https://www.crunchbase.com/hub/mexico-startups,,https://pitchbook.com/profiles/company/42880-78
19,Alexion Pharmaceuticals Inc.,https://alexion.com/,https://alexion.com/,large cap,N/A,ALXN,https://whalewisdom.com/stock/alxn,https://www.crunchbase.com/organization/alexion-pharmaceuticals/company_financials,N/A,https://whalewisdom.com/stock/alxn,,,https://www.crunchbase.com/organization/alexion-pharmaceuticals/company_financials,,https://pitchbook.com/profiles/company/41106-70
20,Alkermes plc,https://www.alkermes.com/,https://www.alkermes.com/,large cap,N/A,ALKS,https://whalewisdom.com/stock/alks,https://www.crunchbase.com/organization/alkermes/company_financials,N/A,https://whalewisdom.com/stock/alks,,,https://www.crunchbase.com/organization/alkermes/company_financials,,https://pitchbook.com/profiles/company/10376-38
